category,domain,length_category,model_family,model,window,overlap,latency,gpu_peak_gb,throughput_docs_per_hour,seed,n_samples,rougeL,bertscore_f1
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,10.927555799484253,9.381787776947021,329.4423809000279,42,60,0.05726970033296337,0.8347259759902954
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,11.71111798286438,11.366669178009033,307.40019913278076,42,60,0.04745011086474501,0.8292186260223389
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,11.405552387237549,11.03600025177002,315.63574281840886,42,60,0.04060186290900406,0.8290368914604187
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,9.720131635665894,9.38218355178833,370.3653545997864,42,60,0.0438886267107126,0.8373880982398987
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,12.286456823348999,11.697085857391357,293.0055468195366,42,60,0.04418262150220914,0.8316894769668579
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,10.042941331863403,9.712021350860596,358.4607219180123,42,60,0.0544894574745321,0.8383700251579285
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,13.15534496307373,12.689616203308105,273.65302925198733,42,60,0.03253796095444686,0.8394180536270142
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,16.73487949371338,12.689616203308105,215.11956517836745,42,60,0.022634391700723042,0.8346566557884216
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,10.051814556121826,9.712021350860596,358.1442912521205,42,60,0.03329312424607961,0.850803554058075
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,10.409527778625488,10.04286527633667,345.8370136051798,42,60,0.02568451659801308,0.8206742405891418
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,17.232622146606445,12.689616203308105,208.90610664894862,42,60,0.030165912518853696,0.8373310565948486
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,17.007104873657227,12.689616203308105,211.67623923905703,42,60,0.02587975382673189,0.8312808275222778
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,12.187915802001953,11.697085857391357,295.37453806570227,42,60,0.04121725731895224,0.8357303738594055
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,12.107053518295288,11.697085857391357,297.3473268751926,42,60,0.020801733477789817,0.8116042613983154
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,10.041549921035767,9.712021350860596,358.5103921515601,42,60,0.06109785202863961,0.8439998030662537
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,12.827692747116089,12.358773708343506,280.6428303959299,42,60,0.03225806451612903,0.8477261066436768
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,9.742498636245728,9.38218355178833,369.5150632720294,42,60,0.04608050847457627,0.8246600031852722
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,12.893157720565796,12.028387546539307,279.2178671837437,42,60,0.030450669914738125,0.8474635481834412
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,11.116776943206787,10.704553127288818,323.83486854073107,42,60,0.051209772140004696,0.8168753981590271
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,10.629639863967896,10.04286527633667,338.6756321070854,42,60,0.040515653775322284,0.8442223072052002
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,9.416928768157959,9.05033254623413,382.2902443706383,42,60,0.043220993053768975,0.8666794896125793
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,11.835044145584106,11.366241931915283,304.1813748825967,42,60,0.03642843001385865,0.8482060432434082
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,10.480973243713379,10.04286527633667,343.4795525462605,42,60,0.041169590643274856,0.8612139821052551
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,12.349334239959717,12.028387546539307,291.51369053978596,42,60,0.0231809401159047,0.8397606015205383
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,11.586104393005371,11.035397052764893,310.7170346379194,42,60,0.04585013797495224,0.8346036076545715
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,12.228132247924805,11.697085857391357,294.4030966471551,42,60,0.028631418209581982,0.8373398184776306
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,1024,256,11.611478328704834,11.366241931915283,310.0380415041907,42,60,0.03683683683683684,0.8351393938064575
