category,domain,length_category,model_family,model,attention,attention_backend,flash_attn_version,window,overlap,global_tokens,latency,gpu_peak_gb,throughput_docs_per_hour,seed,n_samples,model_commit_hash,tokenizer_version,rougeL,bertscore_f1
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.401941776275635,4.518209934234619,817.8209033573052,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.05730389854391733,0.8221325874328613
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.1441755294799805,5.514044761657715,868.6890732284536,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.03277821834522865,0.8167626261711121
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.073609828948975,5.514045238494873,883.737066426126,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.037476577139287946,0.8092209696769714
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,2.6434977054595947,5.514044761657715,1361.8320880570272,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.03962798220784472,0.8123494386672974
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.113528251647949,5.514045238494873,875.1611219778979,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.04145255224391915,0.8123102188110352
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.089588165283203,5.514045238494873,880.2842375573778,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.0392156862745098,0.8155584931373596
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.247316837310791,5.514045238494873,847.5939370417577,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.030080572963294538,0.8184854984283447
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.623419761657715,5.514045238494873,778.6444202741457,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.02769857433808554,0.8543190956115723
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,3.8827168941497803,5.514045238494873,927.185807810052,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.025535420098846788,0.7894763350486755
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,3.9027252197265625,5.514045238494873,922.4323510667829,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.023529411764705882,0.7992261052131653
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.6539692878723145,5.514044761657715,773.533252439196,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.030464584920030468,0.8251981139183044
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.5581910610198975,5.514044761657715,789.7869904546077,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.02475154697168573,0.8081499338150024
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.074042797088623,5.514045238494873,883.643147433949,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.04715745349751113,0.8068882822990417
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,3.982517957687378,5.514045238494873,903.9507262110367,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.02717391304347826,0.80812668800354
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,3.8197343349456787,5.514044761657715,942.4739220904996,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.04704532415375789,0.8162867426872253
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.324028253555298,5.514045238494873,832.5570021518735,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.022238267148014444,0.8218932747840881
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,2.864804744720459,5.514045238494873,1256.6301443874772,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.045801526717557245,0.8008619546890259
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.120448589324951,5.514044284820557,873.6912794705647,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.031004459545551068,0.8167067170143127
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.065955638885498,5.514045238494873,885.4007076640858,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.04411433715957687,0.8111113905906677
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,3.897491216659546,5.514045238494873,923.6711001713253,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.05077262693156733,0.841124951839447
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,2.638896942138672,5.382675647735596,1364.206363088363,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.03666666666666667,0.8402179479598999
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.084918737411499,5.514045238494873,881.2904812596643,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.031795030097237234,0.81083744764328
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,3.9647955894470215,5.514045238494873,907.991324844593,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.0525328330206379,0.8091238737106323
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.256319761276245,5.514045238494873,845.8011150272579,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.01950680898049319,0.8243616819381714
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.044967412948608,5.514045238494873,889.9948089756683,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.04141246071362544,0.8281740546226501
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.0971009731292725,5.514045238494873,878.6700702790837,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.03323469155474619,0.8215172290802002
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.609758615493774,5.514045238494873,780.9519543821897,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.03232323232323232,0.8042792677879333
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.056509733200073,5.514044761657715,887.4624336621658,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.05440414507772021,0.8157297372817993
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,512,16,4.5096118450164795,5.514044761657715,798.2948696523225,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.04588696138780079,0.8143401145935059
